ecosystem,file,name,constraint,before,stable,declared,after,note
"pub","mobile/rust_builder/pubspec.yaml","flutter_lints","^6.0.0","6.0.0","6.0.0","^6.0.0","6.0.0",""
"pub","tool/release/runtime_packager/pubspec.yaml","archive","^4.0.9","4.2.0","4.2.0","^4.2.0","4.2.0",""
"pub","tool/release/runtime_packager/pubspec.yaml","crypto","^3.0.7","3.0.7","3.0.7","^3.0.7","3.0.7",""
"pub","tool/release/runtime_packager/pubspec.yaml","path","^1.9.1","1.9.1","1.9.1","^1.9.1","1.9.1",""
"cargo","rust/Cargo.toml","flutter_rust_bridge","=2.12.0","2.12.0","2.13.0","=2.13.0","2.13.0",""
"cargo","rust/Cargo.toml","keepawake","0.6.0","0.6.1","0.6.1","0.6.1","0.6.1",""
"cargo","rust/Cargo.toml","tokio","1","1.53.1","1.53.1","1.53.1","1.53.1",""
"cargo","rust/Cargo.toml","axum","0.8","0.8.9","0.8.9","0.8.9","0.8.9",""
"cargo","rust/Cargo.toml","bytes","1","1.12.1","1.12.1","1.12.1","1.12.1",""
"cargo","rust/Cargo.toml","serde","1","1.0.229","1.0.229","1.0.229","1.0.229",""
"cargo","rust/Cargo.toml","serde_json","1","1.0.151","1.0.151","1.0.151","1.0.151",""
"cargo","rust/Cargo.toml","serde_urlencoded","0.7","0.7.1","0.7.1","0.7.1","0.7.1",""
"cargo","rust/Cargo.toml","git2","0.21","0.21.0","0.21.0","0.21.0","0.21.0",""
"cargo","rust/Cargo.toml","ignore","0.4","0.4.31","0.4.33","0.4.33","0.4.33",""
"cargo","rust/Cargo.toml","notify","8","8.2.0","8.2.0","8.2.0","8.2.0",""
"cargo","rust/Cargo.toml","trash","5","5.2.6","5.2.6","5.2.6","5.2.6",""
"cargo","rust/Cargo.toml","globset","0.4","0.4.19","0.4.20","0.4.20","0.4.20",""
"cargo","rust/Cargo.toml","grep-matcher","0.1","0.1.9","0.1.9","0.1.9","0.1.9",""
"cargo","rust/Cargo.toml","grep-regex","0.1","0.1.14","0.1.14","0.1.14","0.1.14",""
"cargo","rust/Cargo.toml","regex","1","1.13.1","1.13.1","1.13.1","1.13.1",""
"cargo","rust/Cargo.toml","merman","0.7","0.7.0","0.7.0","0.7.0","0.7.0",""
"cargo","rust/Cargo.toml","png","0.18","0.18.1","0.18.1","0.18.1","0.18.1",""
"cargo","rust/Cargo.toml","tempfile","3","3.27.0","3.27.0","3.27.0","3.27.0",""
"cargo","rust/Cargo.toml","hound","3.5","3.5.1","3.5.1","3.5.1","3.5.1",""
"cargo","rust/Cargo.toml","whisper-rs","0.16.0","0.16.0","0.16.0","0.16.0","0.16.0",""
"cargo","rust/Cargo.toml","libc","0.2","0.2.189","0.2.189","0.2.189","0.2.189",""
"cargo","rust/Cargo.toml","arboard","3.6.1","3.6.1","3.6.1","3.6.1","3.6.1",""
"cargo","rust/alera-core/Cargo.toml","anyhow","1","1.0.104","1.0.104","1.0.104","1.0.104",""
"cargo","rust/alera-core/Cargo.toml","cap-fs-ext","4.0.2","4.0.2","4.0.3","4.0.3","4.0.3",""
"cargo","rust/alera-core/Cargo.toml","cap-std","4.0.2","4.0.2","4.0.3","4.0.3","4.0.3",""
"cargo","rust/alera-core/Cargo.toml","chrono","0.4","0.4.45","0.4.45","0.4.45","0.4.45",""
"cargo","rust/alera-core/Cargo.toml","chrono-tz","0.10","0.10.4","0.10.4","0.10.4","0.10.4",""
"cargo","rust/alera-core/Cargo.toml","git2","0.21","0.21.0","0.21.0","0.21.0","0.21.0",""
"cargo","rust/alera-core/Cargo.toml","ignore","0.4","0.4.31","0.4.33","0.4.33","0.4.33",""
"cargo","rust/alera-core/Cargo.toml","same-file","1.0.6","1.0.6","1.0.6","1.0.6","1.0.6",""
"cargo","rust/alera-core/Cargo.toml","serde","1","1.0.229","1.0.229","1.0.229","1.0.229",""
"cargo","rust/alera-core/Cargo.toml","serde_json","1","1.0.151","1.0.151","1.0.151","1.0.151",""
"cargo","rust/alera-core/Cargo.toml","sha2","0.10","0.10.9;0.11.0","0.11.0","0.11.0","0.10.9;0.11.0",""
"cargo","rust/alera-core/Cargo.toml","sqlx","0.9","0.9.0","0.9.0","0.9.0","0.9.0",""
"cargo","rust/alera-core/Cargo.toml","thiserror","2","1.0.69;2.0.19","2.0.20","2.0.20","1.0.69;2.0.20",""
"cargo","rust/alera-core/Cargo.toml","tokio","1","1.53.1","1.53.1","1.53.1","1.53.1",""
"cargo","rust/alera-core/Cargo.toml","url","2.5","2.5.8","2.5.8","2.5.8","2.5.8",""
"cargo","rust/alera-core/Cargo.toml","uuid","1","1.24.0","1.26.0","1.26.0","1.26.0",""
"cargo","rust/alera-core/Cargo.toml","libc","0.2","0.2.189","0.2.189","0.2.189","0.2.189",""
"cargo","rust/alera-core/Cargo.toml","tempfile","3","3.27.0","3.27.0","3.27.0","3.27.0",""
"cargo","rust/alera-cli/Cargo.toml","clap","4","4.6.4","4.6.6","4.6.6","4.6.6",""
"cargo","rust/alera-cli/Cargo.toml","tokio","1","1.53.1","1.53.1","1.53.1","1.53.1",""
"cargo","rust/alera-cli/Cargo.toml","serde","1","1.0.229","1.0.229","1.0.229","1.0.229",""
"cargo","rust/alera-cli/Cargo.toml","serde_json","1","1.0.151","1.0.151","1.0.151","1.0.151",""
"cargo","rust/alera-cli/Cargo.toml","base64","0.23","0.22.1;0.23.0","0.23.1","0.23.1","0.22.1;0.23.1",""
"cargo","rust/alera-cli/Cargo.toml","chrono","0.4","0.4.45","0.4.45","0.4.45","0.4.45",""
"cargo","rust/alera-cli/Cargo.toml","portable-pty","0.9","0.9.0","0.9.0","0.9.0","0.9.0",""
"cargo","rust/alera-cli/Cargo.toml","sqlx","0.9","0.9.0","0.9.0","0.9.0","0.9.0",""
"cargo","rust/alera-cli/Cargo.toml","anyhow","1","1.0.104","1.0.104","1.0.104","1.0.104",""
"cargo","rust/alera-cli/Cargo.toml","thiserror","2","1.0.69;2.0.19","2.0.20","2.0.20","1.0.69;2.0.20",""
"cargo","rust/alera-cli/Cargo.toml","uuid","1","1.24.0","1.26.0","1.26.0","1.26.0",""
"cargo","rust/alera-cli/Cargo.toml","ed25519-dalek","3","3.0.0","3.0.0","3.0.0","3.0.0",""
"cargo","rust/alera-cli/Cargo.toml","futures-util","0.3","0.3.33","0.3.34","0.3.34","0.3.34",""
